組み合わせ,共起回数
"為る, 説",32
"為る, 目線",32
"為る, 複数",37
"為る, 謝罪",52
"為る, 見下す",46
"為る, 突き込む",35
"為る, 警戒",49
"為る, 誤解",52
"パターナリズム-paternalism, 言う",38
"パターナリズム-paternalism, 為る, 言う",73
"パターナリズム-paternalism, 為る",54
"パターナリズム-paternalism, 為る, 為る",48
"為る, 蔑視",53
"場, 為る",42
"為る, 示す",52
"為る, 週末",34
"勿体, 為る",38
"勿体, 為る, 無い",57
"勿体, 無い",40
"エロ-erotic, 為る",39
"為る, 要する",43
"外国, 為る",45
"為る, 豚",45
"報告, 為る",58
"侵害, 為る",44
"為る, 違反",44
"為る, 移動",43
"全国, 為る",44
"渡す, 為る",32
"希望, 為る",30
"滅亡, 為る",40
"乗っかる, 為る",38
"為る, 許容",53
"ツイ, 為る",35
"ツイ, 為る, 言う",52
"ツイ, 言う",36
"ツイ, 言う, 言う",30
"デマ-Demagogie, 為る",41
"為る, 繰り返す",39
"おた, 言う",30
"おた, 為る",31
"排除, 為る",59
"プロ-pro, 為る",31
"常識, 為る",54
"為る, 調子",36
"ヒロユキ, 為る",39
"恥ずかしい, 為る",31
"ミス-mistake, 為る",32
"基準, 為る",46
"汚い, 為る",30
"機関, 為る",49
"為る, 略",39
"為る, 老人",40
"不尽, 理",35
"不尽, 為る, 理",52
"不尽, 為る",44
"不尽, 為る, 為る",54
"滅ぼす, 為る",37
"一応, 為る",34
"公務, 為る",34
"為る, 週刊",31
"指, 為る",31
"根拠, 無い",39
"根拠, 為る, 無い",82
"根拠, 為る",53
"根拠, 為る, 為る",44
"年末, 為る",39
"後ろ, 為る",33
"オフ-off, 為る",39
"家父, 為る",46
"根本, 無い, 言う",34
"根本, 為る, 無い, 言う",42
"根本, 為る, 言う",43
"根本, 為る, 為る, 言う",31
"根本, 無い",31
"根本, 為る, 無い",47
"根本, 為る",49
"根本, 為る, 為る",35
"思考, 言う",31
"思考, 為る, 言う",62
"思考, 為る",62
"思考, 為る, 為る",53
"セク-sector, 為る",47
"為る, 調査",59
"受け止める, 為る",46
"リアクション-reaction, 為る",31
"無い, 界隈",30
"為る, 界隈",30
"為る, 無い, 界隈",31
"為る, 紹介",53
"倫理, 為る",34
"キャンセル-cancel, キャンセル-cancel",31
"キャンセル-cancel, キャンセル-cancel, 為る",119
"キャンセル-cancel, キャンセル-cancel, キャンセル-cancel",56
"キャンセル-cancel, キャンセル-cancel, キャンセル-cancel, 為る",56
"キャンセル-cancel, 為る",66
"キャンセル-cancel, 為る, 為る",78
"提出, 為る",49
"感謝, 為る",55
"為る, 質問",41
"意図, 無い, 無い",45
"意図, 無い, 無い, 無い",44
"意図, 為る, 無い",48
"意図, 為る, 為る, 無い",45
"意図, 為る",63
"意図, 為る, 為る",73
"為る, 街",33
"反発, 為る",55
"感, 違和",31
"会長, 為る",44
"変換, 為る",30
"為る, 通報",37
"区別, 為る",30
"和名, 無い, 言う, 言う",50
"和名, 為る, 無い, 言う, 言う",81
"和名, 為る, 言う, 言う",58
"和名, 為る, 為る, 言う, 言う",42
"和名, 無い, 無い, 言う",35
"和名, 為る, 無い, 無い, 言う",74
"和名, 為る, 無い, 言う",110
"和名, 為る, 為る, 無い, 言う",85
"和名, 為る, 言う",74
"和名, 為る, 為る, 言う",65
"和名, 無い, 無い",30
"和名, 為る, 無い, 無い",61
"和名, 為る, 無い",80
"和名, 為る, 為る, 無い",63
"和名, 為る",55
"和名, 為る, 為る",48
"当事, 無い, 言う, 言う, 言う, 言う",63
"当事, 為る, 無い, 言う, 言う, 言う, 言う",66
"当事, 為る, 無い, 言う, 言う, 言う",116
"当事, 為る, 為る, 無い, 言う, 言う, 言う",42
"当事, 為る, 無い, 言う, 言う",149
"当事, 為る, 為る, 無い, 言う, 言う",138
"当事, 為る, 無い, 言う",129
"当事, 為る, 為る, 無い, 言う",168
"当事, 為る, 無い",69
"当事, 為る, 為る, 無い",87
"当事, 言う, 言う, 言う, 言う",33
"当事, 為る, 言う, 言う, 言う, 言う",36
"当事, 為る, 言う, 言う, 言う",76
"当事, 為る, 為る, 言う, 言う, 言う",42
"当事, 為る, 言う, 言う",108
"当事, 為る, 為る, 言う, 言う",118
"当事, 為る, 言う",101
"当事, 為る, 為る, 言う",132
"当事, 為る",60
"当事, 為る, 為る",77
"戸籍, 為る",42
"為る, 規制",50
"キス-kiss, 為る",38
"努力, 為る",66
"乗り, 為る",30
"妻, 言う",34
"妻, 為る, 言う",54
"妻, 為る",52
"妻, 為る, 為る",43
"為る, 衛生",37
"為る, 画像",50
"活動, 為る",51
"チェック-check, 為る",41
"同意, 為る",44
"地球, 爆発",33
"地球, 為る, 爆発",46
"地球, 為る",46
"地球, 為る, 為る",33
"為る, 盛り上がる",35
"俳優, 為る",37
"差別, 悪意, 無い",44
"差別, 悪意, 為る, 無い",85
"差別, 悪意, 為る",49
"差別, 悪意, 為る, 為る",56
"悪意, 無い",43
"悪意, 為る, 無い",59
"悪意, 為る",46
"悪意, 為る, 為る",39
"段階, 為る",38
"カオル, コウムラ",40
"異性, 言う",30
"為る, 異性, 言う",56
"愛, 異性",37
"愛, 為る, 異性",53
"為る, 異性",51
"為る, 為る, 異性",46
"局, 為る",33
"デモ-demo, 為る",54
"治療, 為る",45
"削除, 為る",67
"火, 為る",31
"成す, 為る",35
"店, 為る",35
"為る, 買い物",36
"少女, 為る",30
"拡大, 為る",57
"勢い, 為る",39
"アキモト, 五輪, 反対, 反対, 為る, 為る",70
"アキモト, サッポロ, 五輪, 反対, 反対, 為る, 為る",199
"アキモト, サッポロ, 五輪, 反対, 反対, 為る",230
"アキモト, サッポロ, サッポロ, 五輪, 反対, 反対, 為る",213
"アキモト, サッポロ, 五輪, 反対, 反対",87
"アキモト, サッポロ, サッポロ, 五輪, 反対, 反対",79
"アキモト, 五輪, 反対, 為る, 為る",94
"アキモト, サッポロ, 五輪, 反対, 為る, 為る",255
"アキモト, サッポロ, 五輪, 反対, 為る",323
"アキモト, サッポロ, サッポロ, 五輪, 反対, 為る",284
"アキモト, サッポロ, 五輪, 反対",136
"アキモト, サッポロ, サッポロ, 五輪, 反対",114
"アキモト, 五輪, 為る, 為る",42
"アキモト, サッポロ, 五輪, 為る, 為る",110
"アキモト, サッポロ, 五輪, 為る",148
"アキモト, サッポロ, サッポロ, 五輪, 為る",125
"アキモト, サッポロ, 五輪",68
"アキモト, サッポロ, サッポロ, 五輪",53
"アキモト, 反対, 為る, 為る",58
"アキモト, サッポロ, 反対, 為る, 為る",151
"アキモト, サッポロ, 反対, 為る",203
"アキモト, サッポロ, サッポロ, 反対, 為る",173
"アキモト, サッポロ, 反対",88
"アキモト, サッポロ, サッポロ, 反対",72
"アキモト, サッポロ, サッポロ",34
"アキモト, サッポロ, サッポロ, 為る",78
"アキモト, サッポロ, 為る",96
"アキモト, サッポロ, 為る, 為る",67
"アキモト, 為る",49
"検索, 為る",34
"為る, 隙",30
"イベント-event, 為る",43
"一部, 為る",64
"めでたい, 為る",33
"いかれる, 為る",32
"為る, 立てる",40
"幾ら, 為る",33
"残す, 為る",47
"為る, 限り",46
"為る, 自ら",42
"為る, 負担",42
"桔梗, 為る",43
"為る, 目的",63
"コメント-comment, 言う",31
"コメント-comment, 為る, 言う",35
"コメント-comment, 為る",46
"コメント-comment, 為る, 為る",43
"為る, 発生",55
"呪い, 為る",30
"倒れる, 為る",41
"為る, 駅",31
"大きい, 為る",46
"ツルミ, 中尉",36
"望む, 為る",52
"正義, 言う",30
"正義, 為る, 言う",32
"正義, 為る",48
"為る, 理",47
"為る, 視聴",55
"思い切り, 為る",31
"為る, 犬",32
"ずれる, 為る",44
"為る, 苦しむ",59
"国内, 為る",34
"式, 為る",32
"抜く, 為る",40
"制限, 為る",59
"混乱, 為る",46
"勇気, 為る",42
"無い, 症状",37
"為る, 無い, 症状",65
"為る, 症状",64
"為る, 為る, 症状",93
"流す, 為る",35
"マインド-mind, 為る",49
"父親, 言う",31
"為る, 父親, 言う",44
"為る, 父親",43
"為る, 電子",31
"気分, 為る",35
"女の子, 為る",50
"反省, 為る",76
"体, 自治",36
"体, 為る, 自治",51
"為る, 自治",48
"為る, 為る, 自治",39
"無い, 経験",36
"為る, 無い, 経験",54
"為る, 経験",54
"為る, 為る, 経験",34
"教会, 統一",36
"教会, 為る, 統一",55
"教会, 為る",51
"教会, 為る, 為る",37
"影, 裏",30
"免疫, 為る",45
"為る, 纏める",45
"ショック-shock, 為る",37
"於く, 為る",37
"為る, 自信",39
"為る, 無い, 自信",53
"無い, 自信",47
"感染, 防ぐ",32
"感染, 為る, 防ぐ",115
"為る, 防ぐ",85
"為る, 為る, 防ぐ",112
"会社, 為る",36
"為る, 親",36
"為る, 話題",33
"スズキ, 為る",34
"愉快, 為る",30
"無い, 過剰",32
"為る, 無い, 過剰",72
"為る, 過剰",65
"為る, 為る, 過剰",52
"同性, 愛, 無い, 言う",59
"同性, 愛, 為る, 無い, 言う",91
"同性, 為る, 無い, 言う",63
"同性, 愛, 無い",54
"同性, 愛, 為る, 無い",89
"同性, 為る, 無い",55
"同性, 愛, 言う",37
"同性, 愛, 為る, 言う",58
"同性, 為る, 言う",55
"同性, 愛",38
"同性, 愛, 為る",63
"同性, 為る",66
"同性, 為る, 為る",62
"期, 為る",50
"信用, 為る",48
"公共, 無い",38
"公共, 無い, 無い",31
"公共, 為る",42
"公共, 為る, 為る",36
"思い込む, 為る",41
"整理, 為る",62
"中傷, 言う, 誹謗",49
"中傷, 為る, 言う, 誹謗",132
"為る, 言う, 誹謗",88
"為る, 為る, 言う, 誹謗",147
"中傷, 誹謗",46
"中傷, 為る, 誹謗",98
"為る, 誹謗",66
"為る, 為る, 誹謗",94
"ヘート-hate, 言う",34
"ヘート-hate, 為る",37
"ヘート-hate, 為る, 為る",30
"映像, 為る",39
"為る, 身内",46
"家庭, 為る",55
"息吹き, 為る",32
"正解, 為る",32
"宇宙, 為る",32
"今年, 為る",33
"履く, 為る",33
"為る, 録画",46
"人形, 為る",32
"壁, 為る",35
"インタビュー-interview, 為る",52
"為る, 萌える",38
"炎上, 言う",36
"炎上, 為る, 言う",75
"炎上, 為る",69
"炎上, 為る, 為る",50
"搾取, 為る",75
"為る, 遠い",32
"為る, 風",31
"娘, 為る",39
"暴走, 為る",57
"台詞, 言う",42
"大量, 為る",54
"永遠, 為る",40
"放置, 為る",104
"民族, 言う",41
"民族, 為る, 言う",89
"民族, 為る",73
"民族, 為る, 為る",88
"ポジティブ-positive, 為る",47
"モリ, 為る",57
"五輪, 大会",38
"五輪, 大会, 為る",61
"大会, 為る",47
"大会, 為る, 為る",31
"為る, 素人",31
"コウサカ, 為る",41
"コウサカ, シマ, 為る",66
"コウサカ, シマ",46
"コウサカ, シマ, シマ",35
"張る, 為る",30
"位置, 為る",46
"従う, 言う",35
"従う, 為る, 言う",53
"従う, 為る",49
"従う, 為る, 為る",31
"契約, 為る",56
"消える, 為る",33
"為る, 身体",41
"ごまかす, 為る",63
"消す, 為る",30
"為る, 研究",57
"為る, 無邪気",49
"為る, 踏み躙る",57
"無い, 総理",31
"為る, 無い, 総理",35
"大臣, 総理",32
"大臣, 為る, 総理",46
"総理, 言う",32
"為る, 総理, 言う",40
"為る, 総理",49
"為る, 為る, 総理",36
"書類, 為る",49
"為る, 行為",78
"ジャンプ-jump, 為る",35
"ムード-mood, 為る",53
"仮, 為る",62
"為る, 語る",51
"人物, 無い",30
"人物, 為る, 無い",33
"人物, 言う",32
"人物, 為る, 言う",37
"人物, 為る",44
"為る, 絡む",53
"為る, 驚く",48
"地方, 為る",53
"全体, 無い",32
"全体, 為る, 無い",60
"全体, 為る",48
"全体, 為る, 為る",42
"言う, 障害",31
"為る, 言う, 障害",61
"為る, 障害",64
"為る, 為る, 障害",63
"単行, 本, 読む",32
"単行, 本, 為る, 読む",41
"単行, 為る, 読む",37
"単行, 為る",33
"単行, 本, 為る",34
"単行, 本",35
"例, 為る",41
"素朴, 言う",33
"為る, 素朴, 言う",62
"為る, 素朴",62
"為る, 為る, 素朴",71
"外す, 為る",34
"丸, 為る",31
"原因, 無い",36
"原因, 為る, 無い",50
"原因, 為る",66
"原因, 為る, 為る",73
"割, 無い",32
"割, 為る, 無い",52
"割, 為る",48
"割, 為る, 為る",34
"為る, 頼む",37
"出勤, 為る",53
"以下, 為る",60
"為る, 生まれる",46
"ラブ-love, 為る",44
"為る, 連載",42
"機能, 為る",32
