名詞,名詞数,動詞,動詞数,形容詞,形容詞数
コンパクト-compact,5,行く,1325.0,可愛い,510.0
サイズ-size,49,思う,4257.0,でかい,253.0
方,640,適う,22.0,良い,3383.0
ツカサ,3,ググる,42.0,きもい,307.0
身長,22,言う,7135.0,面白い,467.0
鯖,3,出る,777.0,無い,7599.0
記事,99,来る,1953.0,しんどい,167.0
欲求,14,読む,742.0,白い,53.0
一々,70,満たす,3.0,多い,304.0
自分,1126,為る,14787.0,凄い,881.0
一応,32,描く,349.0,強い,163.0
感,376,張る,38.0,やばい,617.0
把握,20,知る,755.0,欲しい,561.0
絵,86,被る,21.0,有り難い,89.0
ホシノ,74,躙る,16.0,物凄い,199.0
アヤノ,98,買う,818.0,高い,176.0
繰り,5,見る,2430.0,惜しい,7.0
検索,34,居る,3309.0,辛い,333.0
上位,10,有る,3519.0,痛い,183.0
サバ-Sabah,8,入る,257.0,限り無い,2.0
読み,16,成る,3778.0,寂しい,30.0
ページ-page,10,待つ,79.0,熱い,36.0
ビュー-view,8,吹く,26.0,怖い,429.0
稼ぎ,6,思い出す,178.0,軽い,66.0
塵,88,間違える,39.0,めんどい,59.0
ハイ-high,107,取り掛かる,2.0,早い,167.0
ロー-low,86,遣る,1571.0,悪い,639.0
垢,140,分かる,1577.0,賢い,20.0
眉,22,気付く,142.0,弱い,61.0
系列,6,起きる,119.0,馬鹿馬鹿しい,7.0
顔面,16,向く,62.0,少ない,111.0
カテゴライズ-categorize,9,因る,154.0,ごつい,10.0
雑誌,29,返す,46.0,小さい,82.0
時,917,置く,282.0,優しい,138.0
武曲,14,増す,13.0,楽しい,233.0
関心,28,汚す,10.0,温かい,38.0
主演,9,知れる,440.0,旨い,493.0
事,3985,済む,144.0,怪しい,22.0
頭,303,受ける,337.0,おっかない,14.0
全て,97,住む,62.0,激しい,10.0
ドラマ-drama,221,持つ,270.0,長い,117.0
サイガワ,3,生まれる,40.0,ちょろい,15.0
文,40,得る,201.0,難しい,102.0
記憶,84,違う,292.0,酷い,224.0
最近,242,出来る,1195.0,可笑しい,188.0
ムラカミ,5,報う,5.0,美しい,83.0
アツシ,9,忘れる,198.0,素晴らしい,25.0
マナベ,1,下さる,131.0,低い,79.0
五千,2,含める,25.0,懐かしい,9.0
郎,4,死ぬ,706.0,短い,35.0
経由,5,下がる,53.0,煩い,84.0
睾丸,2,祈る,12.0,暗い,15.0
稲荷,3,返る,366.0,安い,61.0
返し,7,通ずる,29.0,不味い,82.0
応酬,2,使う,455.0,エロい,23.0
父子,3,飛び出す,3.0,大人しい,64.0
確執,5,振り込む,5.0,甘い,73.0
話,830,生きる,255.0,狭い,42.0
順番,5,似合う,35.0,めでたい,34.0
ゲラ,4,打ち壊す,18.0,仕方無い,145.0
一,594,打ち込む,48.0,重い,46.0
度,361,纏める,36.0,きつい,42.0
マチダ,4,捨てる,88.0,深い,36.0
ヤスシ,10,泣かす,1.0,偉い,149.0
親子,24,関わる,43.0,正しい,95.0
丼,7,控える,19.0,悲しい,44.0
用法,4,頂く,71.0,遅い,34.0
誤り,6,進む,30.0,禍々しい,3.0
テレ東,2,バグる,5.0,遠い,37.0
チェ,1,乗っかる,31.0,えぐい,28.0
影,36,探る,10.0,さくい,1.0
